artist,description,duration,genre,popularity,ranking,sentiment,track,writers,year,black,female,single_genre
The Beach Boys,"“It’s very emotional, always a bit of a choker with me,” said Paul McCartney of this Pet Sounds ballad. The night McCartney and John Lennon first heard Pet Sounds, at a London party, they wrote “Here, There and Everywhere,” which is influenced by “God Only Knows.” Carl Wilson’s understated lead vocal is note-perfect, but it’s the arrangement of horns, sleigh bells, strings, and accordion that gives “God” its heavenly feel. Brian Wilson was fascinated by spirituality and said this song came out of prayer sessions in the studio. “We made it a religious ceremony,” he said of recording Pet Sounds. The only problem: The use of the word “God” in the title scared off some radio programmers.",173040,"['baroque pop', 'brill building pop', 'classic rock', 'psychedelic rock', 'rock', 'sunshine pop']",68,11,"{'compound': 0.6753, 'neg': 0.058, 'neu': 0.84, 'pos': 0.102}",'God Only Knows',"Brian Wilson, Tony Asher",1966,False,False,pop
Stevie Wonder,"Stevie Wonder debuted this hard blast of funk live while opening for the Rolling Stones in the summer of 1972, intent on expanding his audience. The 22-year-old former child star had written it at a drum set, humming the other parts to himself. Wonder had initially intended for Jeff Beck to record the song, but Berry Gordy wouldn’t let him give it away. It became the first single from Talking Book — and Wonder’s first Number One hit in nearly a decade. “A lot of people, especially Black folks, let superstition rule their lives,” Wonder said. “This is crazy. The worst thing is, the more you believe in it, the more bad things happen to you.”",266133,"['funk', 'indie r&b', 'motown', 'quiet storm', 'soul']",72,12,"{'compound': -0.9407, 'neg': 0.122, 'neu': 0.866, 'pos': 0.012}",'Superstition',Stevie Wonder,1972,True,False,funk
The Rolling Stones,"The Stones channeled the emotional wreckage of the late Sixties on a song that Keith Richards wrote in 20 minutes. The intro, strummed on an electric-acoustic guitar modeled on a Chuck Berry favorite, conjures an unparalleled aura of dread. Singer Merry Clayton brings down Armageddon with a soul-wracked wail: “Rape, murder, it’s just a shot away.” The song surfaced days after Meredith Hunter’s murder at the Altamont music festival. “That’s a kind of end-of-the-world song, really,” Mick Jagger said in 1995. “It’s apocalypse.” Richards later said that his guitar fell apart on the last take, “as if by design.”",270773,"['british invasion', 'classic rock', 'rock']",75,13,"{'compound': -0.4767, 'neg': 0.112, 'neu': 0.786, 'pos': 0.102}",'Gimme Shelter',"Mick Jagger, Keith Richards",1969,False,False,rock
The Kinks,"After the Kinks’ first burst of British Invasion pop success fizzled, Ray Davies really needed to write another hit. But instead, he wrote “Waterloo Sunset.” It’s a delicate guitar ballad about a solitary man who watches the world from his window, gazing on a couple of lovers who meet at a dismal London train station. For Davies, it was so personal he didn’t even dare show the lyrics to the other Kinks until he recorded his vocal. As he said, “It was like an extract from a diary nobody was allowed to read.” Yet it became his most beloved creation. You’d never know from the song what a dump Waterloo Station is — a tribute to Davies’ power to find beauty in the mundane.",194216,"['album rock', 'art rock', 'british invasion', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock']",62,14,"{'compound': 0.9409, 'neg': 0.063, 'neu': 0.761, 'pos': 0.175}",'Waterloo Sunset',Ray Davies,1967,False,False,rock
The Beatles,"In 1963, the Beatles gave themselves an ultimatum: “We’re not going to America till we’ve got a Number One record,” Paul McCartney declared. So he and John Lennon went to the home of the parents of Jane Asher, McCartney’s girlfriend, where — “one on one, eyeball to eyeball,” as Lennon later put it — they wrote “I Want to Hold Your Hand,” an irresistibly erotic come-on framed as a chaste, bashful request. The lightning-bolt energy of their collaboration ran through the band’s performance. Rush-released in America the day after Christmas, “I Want to Hold Your Hand” hit Number One in the states on February 1st, 1964. When the bandmates got the news in Paris, during a three-week stand there, they partied all night.",145746,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",70,15,"{'compound': 0.6808, 'neg': 0.009, 'neu': 0.911, 'pos': 0.08}",'I Want to Hold Your Hand',"John Lennon, Paul McCartney",1963,False,False,rock
Beyoncé feat. Jay-Z,"Producer Rich Harrison had trouble convincing friends and peers that the beat to “Crazy in Love” had much potential. So he added a five-alarm horn blast taken from Seventies soulsters the Chi-Lites’ “Are You My Woman? (Tell Me So),” as well as his own instrumental flourishes, and kept it at the ready for the right moment and the right artist — “Until I got the call from B,” he later said. As the single that inaugurated Beyoncé’s solo career, the song emphatically announced her arrival as the era’s dominant pop power. Jay-Z’s killer verse was added at the last minute. Bey and Jay had just started dating at the time, and the song’s lyrics and head-over-heels delivery reflected what she described as “the first step of a relationship right before you let go.”",236133,"['dance pop', 'pop', 'post-teen pop', 'r&b']",75,16,"{'compound': 0.7184, 'neg': 0.049, 'neu': 0.853, 'pos': 0.098}",'Crazy in Love',"Shaun Carter, Beyoncé Knowles, Eugene Record, Rich Harrison",2003,True,True,pop
Queen,"The 1970s, rock’s most grandiose decade, never got more grandiose than here. “Bohemian Rhapsody” contains a reported 180 vocal parts and spans rock, opera, heavy metal, and pop — all in six minutes. But for as elegant as it sounds, recording it was a literal mess. Freddie Mercury taped scraps of paper containing his own bizarre musical notations to his piano and simply started pounding out chords for his bandmates to follow. Somehow he pieced it all together beautifully, singing about killing a man (possibly a metaphor for obliterating the heterosexual image of himself) and commedia dell’arte characters like Scaramouche. Recording technology was so taxed by the song that some tapes became virtually transparent from so many overdubs, but Queen had created something that embodied the absurd tragedy and humor of human existence.",354320,"['classic rock', 'glam rock', 'rock']",73,17,"{'compound': -0.4215, 'neg': 0.119, 'neu': 0.768, 'pos': 0.114}",'Bohemian Rhapsody',Freddie Mercury,1975,False,False,rock
Prince and the Revolution,"On the 1999 tour in 1983, Prince found himself sharing arenas with Bob Seger, and he challenged himself to write a Seger-like ballad, but instead of “Night Moves,” he channeled a heartrending meditation on love, trust, God, and purple rain. “It was so different,” the Revolution’s Bobby Z. said. “It was almost country. It was almost rock. It was almost gospel.” The version of the song on the Purple Rain soundtrack is actually a live recording from 1983 that Prince later polished into a transcendent anthem worthy of a movie title. After the film came out, the song and its jaw-dropping guitar solo got only bigger: The performance on the 1985 home video Prince and the Revolution: Live stretches to almost 19 minutes — and it is stunning.",520786,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']",73,18,"{'compound': 0.9714, 'neg': 0.009, 'neu': 0.832, 'pos': 0.159}",'Purple Rain',Prince,1984,True,False,funk
John Lennon,"“It’s not like he thought, ‘Oh, this can be an anthem,'” Yoko Ono recalled years later of this song’s creation in March of 1971. “Imagine” was “just what John believed: that we are all one country, one world, one people. He wanted to get that idea out.” Lennon admitted that “Imagine” was “virtually the Communist Manifesto.” But the elementary beauty of his melody, the warm composure in his voice, and the poetic touch of co-producer Phil Spector — who bathed Lennon’s performance in gentle strings and summer-breeze echo — emphasized the song’s fundamental humanity. Lennon knew he had written something special. In one of his last interviews, he declared “Imagine” to be as good as anything he had written with the Beatles.",187866,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",76,19,"{'compound': 0.9638, 'neg': 0.012, 'neu': 0.829, 'pos': 0.16}",'Imagine',"John Lennon, Yoko Ono",1971,False,False,rock
Robyn,"Swedish disco queen Robyn captured all the agony and ecstasy of twirling alone in a corner of the dance floor, spinning around in circles, and losing yourself in the beat for a moment of solitary triumph. “I think ‘Dancing on My Own’ is totally from me just being in clubs and going out and dancing a lot, and seeing people and thinking, ‘What are they doing here?’” she said later. Written with Stockholm producer Patrik Berger, the song made Robyn an iconic cult hero. But it also became the template for a whole generation of young songwriters, from Taylor Swift to Lorde, looking for the ideal glitter-and-sobs cocktail. “This song, to me, is perfect,” Lorde wrote. “Joyous even when a heart is breaking.”",278080,"['art pop', 'dance pop', 'electropop', 'europop', 'pop', 'scandipop', 'swedish electropop', 'swedish pop']",58,20,"{'compound': 0.8555, 'neg': 0.04, 'neu': 0.854, 'pos': 0.106}",'Dancing on My Own',"Robin Miriam Carlsson, Patrik Berger",2010,False,True,pop
Billie Holiday,"One of pop’s first protest songs is also one of its most profoundly disturbing. Written by a Jewish schoolteacher in the Bronx, its lyrics evoke the horrors of a lynching (“Black bodies swinging in the Southern breeze/Strange fruit hanging from the poplar trees”), and its languid melody conjures the unsettling quiet of a Southern backwoods night. The song was so controversial in the late Thirties that Holiday, a Columbia Records artist, had to find another label to release it (an indie owned by Billy Crystal’s uncle). “‘Strange Fruit’ is still relevant, because Black people are still being lynched,” Andra Day, who sang it in The United States vs. Billie Holiday, told Rolling Stone last year. “It’s not just a Southern breeze. We’re seeing that everywhere.”",192866,"['adult standards', 'harlem renaissance', 'jazz', 'jazz blues', 'lounge', 'soul', 'torch song', 'vocal jazz']",57,21,"{'compound': -0.5338, 'neg': 0.088, 'neu': 0.851, 'pos': 0.062}",'Strange Fruit',Lewis Allan,1939,True,True,jazz
The Ronettes,"Phil Spector rehearsed this song with Ronnie Bennett (the only Ronette to sing on it) for weeks, but that didn’t stop him from doing 42 takes before he was satisfied. Aided by a full orchestra (as well as a young Cher, who sang backup vocals), Spector created a lush, echo-laden sound that was the Rosetta Stone for studio pioneers such as the Beatles and Brian Wilson, who calls this his favorite song. “The things Phil was doing were crazy and exhausting,” said Larry Levine, Spector’s engineer. “But that’s not the sign of a nut. That’s genius.”",160906,"['brill building pop', 'classic girl group', 'motown', 'soul']",68,22,"{'compound': 0.7876, 'neg': 0.056, 'neu': 0.821, 'pos': 0.123}",'Be My Baby',"Jeff Barry, Ellie Greenwich, Phil Spector",1963,True,True,pop
David Bowie,"After a coke-fried spell in Los Angeles, Bowie was detoxing in Berlin when he spied two lovers having a rendezvous by the Berlin Wall. Said Bowie, “I thought, of all the places to meet in Berlin, why pick a bench underneath a guard turret on the wall?” Imagining the story behind their affair, Bowie wrote his most compassionate song ever. The song builds for six minutes, with Bowie setting his ragged, impassioned croon over a throbbing groove consisting of Eno’s humming synths, Robert Fripp’s guitar, and producer Tony Visconti banging on a metal ashtray that was lying around the studio. Bowie wails with crazed soul about two doomed lovers finding a moment of redemption together — just for one day.",371413,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",73,23,"{'compound': 0.2944, 'neg': 0.073, 'neu': 0.845, 'pos': 0.082}",'Heroes',"David Bowie, Brian Eno",1977,False,False,rock
The Beatles,"“A Day in the Life” was one of the last true Lennon-McCartney collaborations: John Lennon wrote the opening and closing sections, and Paul McCartney contributed the “Woke up/Fell out of bed” middle. For the climax, they hired 40 musicians, dressed them in tuxedos and funny hats, and told them they had 15 bars to ascend from the lowest note on their instruments to the highest. “Listen to those trumpets — they’re freaking out,” McCartney said. The final piano chord concluded Sgt. Pepper and made rock’s possibilities seem infinite.",337413,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",63,24,"{'compound': 0.0772, 'neg': 0.057, 'neu': 0.882, 'pos': 0.061}",'A Day in the Life',"John Lennon, Paul McCartney",1967,False,False,rock
Kanye West feat. Pusha T,"West had always generated controversy and criticism, but after he interrupted Taylor Swift at the 2009 VMAs, his public image was at an all-time low. So he took off for a self-imposed exile in Hawaii and recorded his nine-minute masterpiece — a toast to the “douchebags” and an unguarded reflection on his image and intimacy issues. “The song sounds like it’s talking about a girl — could also be talking about my relationship with society or my relationship with the fans or anyone who I let down or people who had to defend me that really love me,” West said. He was so impressed with Pusha T’s guest verse that he signed him to his GOOD Music label and eventually made the Clipse member president of the label.",547733,"['chicago rap', 'rap']",75,25,"{'compound': 0.976, 'neg': 0.05, 'neu': 0.763, 'pos': 0.187}",'Runaway',"Emile Haynie, John Roger Branch, Kanye West, Malik Yusef, Pete Rock, Terrence Thornton, Jeff Bhasker, Mike Dean",2010,True,False,hip hop
Joni Mitchell,"One of the many searing moments on Mitchell’s landmark Blue, “A Case of You” unsparingly grapples with conflicted feelings and entangled identities. The male character in the song is apparently a composite of several men in her life during that time, notably Leonard Cohen, and her partner at the time of its recording, James Taylor, who joins in on guitar, with Mitchell herself on dulcimer. She later dismissed “A Case of You” as “a doormat song,” yet it remains one of her most beloved. Prince, who once said that “Joni’s music should be taught in school, if just from a literature standpoint,” covered it several times during his career.",263480,"['canadian singer-songwriter', 'folk', 'folk rock', 'lilith', 'mellow gold', 'rock', 'singer-songwriter']",66,26,"{'compound': 0.5984, 'neg': 0.0, 'neu': 0.955, 'pos': 0.045}",'A Case of You',Joni Mitchell,1971,False,True,singer-songwriter
Bruce Springsteen,"This song’s four and a half minutes took three and a half months to cut. Aiming for the impact of Phil Spector’s Wall of Sound, Springsteen included strings, glockenspiel, multiple keyboards — and more than a dozen guitar tracks. “I had enormous ambitions for it,” said Springsteen. “I wanted to make the greatest rock record I’d ever heard.” Springsteen’s lyrics told a story of young lovers on the highways of New Jersey. “I don’t know how important the settings are,” Springsteen said. “It’s the idea behind the settings. It could be New Jersey, it could be California, it could be Alaska.”",269920,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",70,27,"{'compound': 0.8074, 'neg': 0.02, 'neu': 0.889, 'pos': 0.091}",'Born to Run',Bruce Springsteen,1975,False,False,rock
Talking Heads,"Talking Heads had a difficult time bringing “Once in a Lifetime” to life. The song began during jams at Compass Point Studios in the Bahamas as the band worked on its groundbreaking Afro-funk influenced album Remain in Light. Producer and co-writer Brian Eno wanted to ditch the tune altogether until David Byrne started performing his “Same as it ever was” monologue like an evangelical preacher, which somehow sharpened his message about questioning identity and reality. “We’re largely unconscious,” the singer once said. “You know, we operate half-awake or on autopilot and end up, whatever, with a house and family and job and everything else, and we haven’t really stopped to ask ourselves, ‘How did I get here?'”",259906,"['art punk', 'art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",68,28,"{'compound': -0.3804, 'neg': 0.052, 'neu': 0.927, 'pos': 0.021}",'Once in a Lifetime',"Brian Eno, Chris Frantz, David Byrne, Jerry Harrison, Tina Weymouth",1980,False,False,rock
